x[m],y[m],z[m],t[s]
42.616819,7.067448,73.814495,4.420000
42.713237,6.862826,73.981496,4.430000
42.809655,6.657224,74.148497,4.440000
42.906073,6.450642,74.315498,4.450000
43.002491,6.243079,74.482499,4.460000
43.098909,6.034535,74.649501,4.470000
43.195327,5.825010,74.816502,4.480000
43.291746,5.614505,74.983503,4.490000
43.388164,5.403019,75.150504,4.500000
43.484582,5.190552,75.317505,4.510000
43.581000,4.977105,75.484506,4.520000
43.677418,4.762677,75.651507,4.530000
43.773836,4.547269,75.818508,4.540000
43.870254,4.330879,75.985509,4.550000
43.966673,4.113509,76.152511,4.560000
44.063091,3.895159,76.319512,4.570000
44.159509,3.675828,76.486513,4.580000
44.255927,3.455516,76.653514,4.590000
44.352345,3.234223,76.820515,4.600000
44.448763,3.011950,76.987516,4.610000
44.545181,2.788696,77.154517,4.620000
44.641599,2.564462,77.321518,4.630000
44.738018,2.339246,77.488520,4.640000
44.834436,2.113050,77.655521,4.650000
44.930854,1.885874,77.822522,4.660000
45.027272,1.657717,77.989523,4.670000
45.123690,1.428579,78.156524,4.680000
45.220108,1.198460,78.323525,4.690000
45.316526,0.967361,78.490526,4.700000
45.412945,0.735281,78.657527,4.710000
45.509363,0.502221,78.824529,4.720000
45.605781,0.268179,78.991530,4.730000
45.702199,0.033157,79.158531,4.740000
45.798617,0.000000,79.325532,4.751273
